review_text,review_star
I like this at this price,4.0 out of 5 stars
"Phone is good, but battery life is not upto the mark",3.0 out of 5 stars
I love opportunity,5.0 out of 5 stars
Ok,4.0 out of 5 stars
Picture Quality Sound Quality and Battery Life Is too Good of this Oppo A3s phone.,5.0 out of 5 stars
awsome experience,4.0 out of 5 stars
Very bad picture  quality and battery  life is best  and great it's only useful  for long  battery,1.0 out of 5 stars
Super fine mobile,5.0 out of 5 stars
Nice phone,5.0 out of 5 stars
Very good product,5.0 out of 5 stars
Statisfied about Picture & sound quality but performance of battery is not good.,5.0 out of 5 stars
"Good phone, only changing takes long time",5.0 out of 5 stars
I personally recommend to everyone never purchase the oppo A3s raddi phone hai,1.0 out of 5 stars
Very nice,5.0 out of 5 stars
Mobile achchhi hay,5.0 out of 5 stars
Good,5.0 out of 5 stars
good,5.0 out of 5 stars
Working good,3.0 out of 5 stars
good but not better,2.0 out of 5 stars
Awesom valuable mobile and money back mobile,5.0 out of 5 stars
"Good mobile with full screen , good look plus battery is very good",5.0 out of 5 stars
hangs often,1.0 out of 5 stars
Sound is bit slow..but overall the phone is good!!,5.0 out of 5 stars
"camera Quality not so fine, batt life",4.0 out of 5 stars
You can purchase if you dont need camera quality and app install storage only 3gb,1.0 out of 5 stars
Good product...very beautiful,4.0 out of 5 stars
everything is good but earphone is not available in box please help,5.0 out of 5 stars
Super performance,4.0 out of 5 stars
good,3.0 out of 5 stars
This a3s phone is looking v v good & camera & battery backup awesome speaker sounds high..,4.0 out of 5 stars
I had received my mobile OPPO A3s with good condition but I the box the handfree is missing.,3.0 out of 5 stars
"Few items were missing. Tray opener pin was missing, Eye piece was missing.",4.0 out of 5 stars
Not satisfied with sound quality ...,2.0 out of 5 stars
Don't waste your money,1.0 out of 5 stars
Avg picture,4.0 out of 5 stars
Good quality overall,5.0 out of 5 stars
"Ultimate camera clarity, Fast speed, Big screen. Must Buy",5.0 out of 5 stars
Good picture quality,5.0 out of 5 stars
Design and new features are good to work.,5.0 out of 5 stars
Value for money,5.0 out of 5 stars
Great battery life .. with simple looks,4.0 out of 5 stars
Very good phone 😍 pictures quality is so nice best mobile under 10000,5.0 out of 5 stars
Screen brightness is very very very low .... Like freakin low,4.0 out of 5 stars
It was very good product and timely delivered,5.0 out of 5 stars
Best quality,5.0 out of 5 stars
Good,2.0 out of 5 stars
Good,5.0 out of 5 stars
"Oppo's A3s did not dissappoint. good phone, very sleek and stylish.",5.0 out of 5 stars
Picture quality is good as well as sound.The product has delivered in time.,3.0 out of 5 stars
Nice mobile I like it,4.0 out of 5 stars
So far so good,5.0 out of 5 stars
It juz ozm to work... Very gud product in my point of view... Thnkiew... ❤,4.0 out of 5 stars
Very good product but fingerprint are not there red colour is most beautiful,4.0 out of 5 stars
"Very nice! Great battery backup, fully satisfied with this mobile",5.0 out of 5 stars
Good mobile at a resonable rate. Its battery backup is too good.,5.0 out of 5 stars
Awesome mobile..camera clarity and battery back up is toooo gud gud ❣️❣️❣️😊,5.0 out of 5 stars
Good phone but I not get oppo free gift of headphone & selfie stick,5.0 out of 5 stars
Battery charge is to long,3.0 out of 5 stars
Good for it’s cost,5.0 out of 5 stars
It is one of the hand pick phone with great futures and handful display,4.0 out of 5 stars
Best,5.0 out of 5 stars
Average mobile but battery backup wast,4.0 out of 5 stars
Good battery and camera,5.0 out of 5 stars
Very nice mobile,5.0 out of 5 stars
"Phone looking is awesome, camera quality is good. And best part budget phone",5.0 out of 5 stars
Very nice,5.0 out of 5 stars
Awesome product,5.0 out of 5 stars
Good one,4.0 out of 5 stars
Dislike is system App occupied almost 10 gb storage.,3.0 out of 5 stars
Camera quality is not satisfied. Charging indication is not visible.,3.0 out of 5 stars
WHAT WE EXPECT FROM PHONE IT IS PRESENT IN THE PHONE . THANKS FOR AMAZON,5.0 out of 5 stars
"Really value for money, thanku amazon",4.0 out of 5 stars
very nice phone in my range having special features,5.0 out of 5 stars
Ultimate,5.0 out of 5 stars
"Good mobile for low budget, battery storage good camera quality nice.",5.0 out of 5 stars
Good overall performance...,5.0 out of 5 stars
Good quality 👌👌💪 and super battery 👍💪 life 👌,5.0 out of 5 stars
Memory 16gb is not enough for OS. realme1 is better choice,2.0 out of 5 stars
Great functions and face unlock works well,5.0 out of 5 stars
"Not good , having technical problem and also care is not supported",1.0 out of 5 stars
Very good smartphone at this price,5.0 out of 5 stars
This is a good phone at this price,5.0 out of 5 stars
Guud too,5.0 out of 5 stars
Super pic and minded model,5.0 out of 5 stars
The phone is taking long time to charge which is was not expected,3.0 out of 5 stars
Exelent,5.0 out of 5 stars
OUTSTANDING MOBILE,5.0 out of 5 stars
Good smart phone in this budget.,5.0 out of 5 stars
Awesome product gifted to my dad,5.0 out of 5 stars
picture sound are good and battery life is also good .,5.0 out of 5 stars
"Nice pick, good service",5.0 out of 5 stars
I have received black colour against purple that i had ordered,1.0 out of 5 stars
Red color is very good.,5.0 out of 5 stars
Only got 2gb ram,3.0 out of 5 stars
Very realy very good sistyems,5.0 out of 5 stars
Prefect,5.0 out of 5 stars
Very nice mobile it's completely good phone. thanks,5.0 out of 5 stars
Good. Worth of money,4.0 out of 5 stars
Best in this budget but in 3 GB Ram is most comfortable set,5.0 out of 5 stars
Picture quality is awesome,5.0 out of 5 stars
Battery charging very slow,3.0 out of 5 stars
Nice moblie,5.0 out of 5 stars
Good,5.0 out of 5 stars
Best,5.0 out of 5 stars
Overall performance is good but charging is,4.0 out of 5 stars
Picture quality and sound quality is good,5.0 out of 5 stars
"this is average mobile, not best quality.",2.0 out of 5 stars
Nice product in this range,5.0 out of 5 stars
poor performance & battery charging time 4 hours above,1.0 out of 5 stars
It's a best product in this range.I just loved it.THANKS,5.0 out of 5 stars
Overall products is good,4.0 out of 5 stars
Not up to the mark,4.0 out of 5 stars
Ok,5.0 out of 5 stars
Received on time and looks good product,4.0 out of 5 stars
Good product as expected,5.0 out of 5 stars
I like this product,5.0 out of 5 stars
Picture quality is better and battery is best,4.0 out of 5 stars
Overall phone is good thanks Amazon for fast delivery,5.0 out of 5 stars
Evrything is good in this mobile,4.0 out of 5 stars
"So far ok but theres no button for ""reb oot""",4.0 out of 5 stars
Poor performance ...... Battery life is good,2.0 out of 5 stars
Audate quality,1.0 out of 5 stars
Nice. One,5.0 out of 5 stars
Back camera is ok ok,5.0 out of 5 stars
Mobile phone is good but i got a damaged mobile box,5.0 out of 5 stars
Nice product. Battery life is good.,5.0 out of 5 stars
"Camera is third class,battery average sound is fine",2.0 out of 5 stars
Typing is very slow compare in mi any mobile mobile,5.0 out of 5 stars
Very good photos quality better life is very bigger,5.0 out of 5 stars
Very excited,5.0 out of 5 stars
Good,3.0 out of 5 stars
Front camera is not so satisfying.,3.0 out of 5 stars
Awsum product oppo thanx Amazon for exchange offer,5.0 out of 5 stars
i want bill of this product please send me invoice,5.0 out of 5 stars
camera and battery life good,5.0 out of 5 stars
AMIT V RANPARIYA,3.0 out of 5 stars
Fabulous phone.....loved it.....battery is brilliant...,5.0 out of 5 stars
Ok,4.0 out of 5 stars
So much hanging problem. Nonsense mobile,2.0 out of 5 stars
I have received very good mobile,5.0 out of 5 stars
Very good,5.0 out of 5 stars
Nice mobile. Nice battery Very nice Quality,4.0 out of 5 stars
"All are ok, face detection not effective",3.0 out of 5 stars
Good product,5.0 out of 5 stars
Bill is not present in the box.but product is good,3.0 out of 5 stars
Not bad,4.0 out of 5 stars
Not bad,3.0 out of 5 stars
Battery very good. Good standard,5.0 out of 5 stars
Sound quality could have been better.,3.0 out of 5 stars
Like,5.0 out of 5 stars
Ok ok,5.0 out of 5 stars
Simply superb,5.0 out of 5 stars
Very comfortable... Front Camara superb,4.0 out of 5 stars
It's very nice mobile phone i use it,5.0 out of 5 stars
The product was bad ... I want to replace it,1.0 out of 5 stars
Very good .go for it,5.0 out of 5 stars
Dis range awesome product,5.0 out of 5 stars
Good Product,4.0 out of 5 stars
Nice overall,5.0 out of 5 stars
Really too smart opportunity oppoA3s,4.0 out of 5 stars
Bill was not inside the packet.why?,1.0 out of 5 stars
I,5.0 out of 5 stars
Calling voice and camera quality is not good.,2.0 out of 5 stars
Ok good performance,4.0 out of 5 stars
Worth money,4.0 out of 5 stars
Very good product...camera & battery super,4.0 out of 5 stars
"Very bad batter life, scratch on new phone",1.0 out of 5 stars
Nice,5.0 out of 5 stars
Nice phone for the price.,5.0 out of 5 stars
Good,5.0 out of 5 stars
It's only 2 gb ram or 16 gb internal memory,1.0 out of 5 stars
Mid range good phone..,5.0 out of 5 stars
Very good,4.0 out of 5 stars
This is so good  and colour also,5.0 out of 5 stars
Good battery life and twin os is awesome,4.0 out of 5 stars
Brabalam battery,4.0 out of 5 stars
good,4.0 out of 5 stars
Mast phone hair,5.0 out of 5 stars
Looking very osam and battery life is long ..,4.0 out of 5 stars
Good Quality OF Mobile by OPPO,5.0 out of 5 stars
Nice budget phone,3.0 out of 5 stars
This is the best.. #oppop is the best,5.0 out of 5 stars
Best of money,4.0 out of 5 stars
Excellent all the way,5.0 out of 5 stars
Over all phone is good,5.0 out of 5 stars
Nice mobile but picture quality is low,5.0 out of 5 stars
I like this product.,5.0 out of 5 stars
Awsome phone by oppo,5.0 out of 5 stars
Good prodcut,5.0 out of 5 stars
Super,5.0 out of 5 stars
Best,4.0 out of 5 stars
Sound volume is not so high even in maximum mode,4.0 out of 5 stars
Nice,5.0 out of 5 stars
FINE,5.0 out of 5 stars
battery life is good,5.0 out of 5 stars
Camera quality and video quality worst.,2.0 out of 5 stars
Slow charging,5.0 out of 5 stars
These products is very good,4.0 out of 5 stars
D picture quality is very embracing,1.0 out of 5 stars
Best photo quality.... Os is OSome.,5.0 out of 5 stars
My first Online Mobile Purchase,5.0 out of 5 stars
Good phone,4.0 out of 5 stars
Very Nice mobile in this mid range,5.0 out of 5 stars
Good product reasonable price good,5.0 out of 5 stars
Nice phone in price of 10k,4.0 out of 5 stars
Good at this price,5.0 out of 5 stars
Good Battery life.,5.0 out of 5 stars
Very  good,5.0 out of 5 stars
Nice phone,4.0 out of 5 stars
Good phone,4.0 out of 5 stars
Ok,4.0 out of 5 stars
Excellent battery and pic quality,5.0 out of 5 stars
It is really a vry gud product...,5.0 out of 5 stars
Without any issue,5.0 out of 5 stars
All things r good,5.0 out of 5 stars
Very nice,5.0 out of 5 stars
It's to good phone,5.0 out of 5 stars
Best phone,5.0 out of 5 stars
I like,5.0 out of 5 stars
Good phone I satisfy this phone,5.0 out of 5 stars
Value for money,4.0 out of 5 stars
Awesome,5.0 out of 5 stars
Everything ok in this range,5.0 out of 5 stars
Sim ejector tool is missing,1.0 out of 5 stars
"Nice product, value for money.",5.0 out of 5 stars
Nice one,5.0 out of 5 stars
GOOD QUALITY  PRODUCT  BY OPPO,5.0 out of 5 stars
Buy without hesitation,4.0 out of 5 stars
Bettary khrab aa sir esnu le jao,1.0 out of 5 stars
It's vetter piece for that prize,5.0 out of 5 stars
Good phone in budget price...,5.0 out of 5 stars
Super quality in all features,5.0 out of 5 stars
Camera And sound is very good,5.0 out of 5 stars
Very Good,5.0 out of 5 stars
Awesome mobile in this price,5.0 out of 5 stars
Display is low light,3.0 out of 5 stars
Totally good product,5.0 out of 5 stars
Good phone in budget,5.0 out of 5 stars
Best product,5.0 out of 5 stars
Battery life,4.0 out of 5 stars
Good product,5.0 out of 5 stars
Average good,4.0 out of 5 stars
Nice product,5.0 out of 5 stars
like,4.0 out of 5 stars
Good,5.0 out of 5 stars
Good,5.0 out of 5 stars
Best,5.0 out of 5 stars
Good,4.0 out of 5 stars
Good,4.0 out of 5 stars
